epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,590.427,1.777,2.01097,1.58676,0.38685,0.4844,0.32968,0.13306,1.96365,1.97278,1.91269,0.000552956,0.000552956,0.000552956
2,1177.71,1.66292,1.53273,1.52522,0.40209,0.58146,0.38368,0.16184,1.73613,1.8307,1.72792,0.00108667,0.00108667,0.00108667
3,1752.01,1.63612,1.48908,1.51106,0.37952,0.61166,0.38786,0.18679,1.69884,1.68561,1.74711,0.00159838,0.00159838,0.00159838
4,2273.51,1.62216,1.44825,1.50056,0.40424,0.57664,0.38508,0.16391,1.78035,1.69359,1.79812,0.00156798,0.00156798,0.00156798
5,2790.09,1.59104,1.41596,1.48097,0.40353,0.65018,0.40823,0.17819,1.71274,1.61606,1.72715,0.00153497,0.00153497,0.00153497
6,3305.09,1.55795,1.3891,1.463,0.40897,0.62685,0.4226,0.2002,1.67076,1.55375,1.7039,0.00150197,0.00150197,0.00150197
7,3820.86,1.55283,1.37386,1.45882,0.41617,0.6491,0.43124,0.20325,1.72185,1.53772,1.74287,0.00146896,0.00146896,0.00146896
8,4336.44,1.52034,1.3538,1.44659,0.4322,0.64908,0.4534,0.21127,1.65409,1.45013,1.67308,0.00143595,0.00143595,0.00143595
9,4854.87,1.5124,1.33435,1.43562,0.40852,0.6505,0.43031,0.21324,1.65155,1.47552,1.69322,0.00140295,0.00140295,0.00140295
10,5373.41,1.48599,1.32319,1.42298,0.44273,0.6314,0.45373,0.21461,1.62148,1.43119,1.66299,0.00136994,0.00136994,0.00136994
11,5886.28,1.49027,1.31896,1.42388,0.40779,0.68052,0.4457,0.21322,1.65458,1.43207,1.69277,0.00133693,0.00133693,0.00133693
12,6407.1,1.48596,1.31282,1.41874,0.42092,0.65023,0.43072,0.18951,1.6925,1.43621,1.73322,0.00130393,0.00130393,0.00130393
13,6925.24,1.47302,1.30684,1.41557,0.42777,0.64623,0.47173,0.21753,1.62174,1.42987,1.65167,0.00127092,0.00127092,0.00127092
14,7441.61,1.46311,1.29117,1.4047,0.45816,0.6667,0.49633,0.23229,1.6109,1.38648,1.66836,0.00123791,0.00123791,0.00123791
15,7958.54,1.45021,1.28292,1.40505,0.44426,0.67884,0.48856,0.23027,1.62301,1.3541,1.66741,0.00120491,0.00120491,0.00120491
16,8476.6,1.43319,1.28111,1.39484,0.43797,0.66704,0.43878,0.18994,1.68501,1.43463,1.72516,0.0011719,0.0011719,0.0011719
17,9055.61,1.45744,1.28149,1.40749,0.45712,0.66149,0.49192,0.22569,1.63176,1.35808,1.68585,0.00113889,0.00113889,0.00113889
18,9652.98,1.43211,1.27111,1.38791,0.43734,0.66961,0.48304,0.2235,1.65071,1.37451,1.71153,0.00110589,0.00110589,0.00110589
19,10165.4,1.4261,1.26238,1.39234,0.44815,0.68266,0.48066,0.22218,1.5976,1.34407,1.64836,0.00107288,0.00107288,0.00107288
20,10678,1.41797,1.26555,1.38698,0.44405,0.68171,0.47001,0.21853,1.58988,1.37442,1.65796,0.00103987,0.00103987,0.00103987
