epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1050.5,0.69218,0.38722,0.8344,0.93718,0.95381,0.9841,0.80766,0.64935,0.36546,0.83411,0.000828443,0.000828443,0.000828443
43,1074.29,0.6886,0.38697,0.83542,0.94055,0.94978,0.98459,0.81019,0.63949,0.36223,0.83246,0.000820525,0.000820525,0.000820525
44,1097.85,0.69215,0.38827,0.83477,0.93888,0.95114,0.98438,0.80993,0.64382,0.36533,0.83232,0.000812468,0.000812468,0.000812468
45,1121.54,0.68977,0.38692,0.83477,0.93629,0.95879,0.98408,0.80847,0.64124,0.36407,0.83132,0.000804277,0.000804277,0.000804277
46,1144.76,0.68214,0.37942,0.83298,0.93957,0.95064,0.98439,0.81164,0.64139,0.36085,0.83387,0.000795954,0.000795954,0.000795954
47,1167.84,0.68299,0.38295,0.83563,0.93762,0.95731,0.98507,0.81381,0.63618,0.35892,0.83169,0.000787503,0.000787503,0.000787503
48,1190.89,0.67181,0.37479,0.83013,0.93619,0.95562,0.98457,0.81529,0.63573,0.35948,0.82956,0.000778929,0.000778929,0.000778929
49,1214.03,0.6798,0.38638,0.83256,0.93364,0.95691,0.98445,0.80777,0.65353,0.36467,0.83347,0.000770234,0.000770234,0.000770234
50,1237.25,0.67111,0.37907,0.83141,0.94586,0.94694,0.98515,0.81059,0.63938,0.37418,0.83065,0.000761423,0.000761423,0.000761423
51,1260.96,0.68201,0.3851,0.83306,0.93781,0.95724,0.98483,0.81436,0.62964,0.36054,0.82751,0.0007525,0.0007525,0.0007525
52,1284.68,0.67504,0.37578,0.83196,0.93631,0.95755,0.98526,0.81334,0.63492,0.35177,0.83143,0.000743468,0.000743468,0.000743468
53,1308.45,0.6706,0.37316,0.83069,0.93331,0.95799,0.98442,0.81628,0.62524,0.35382,0.82998,0.000734332,0.000734332,0.000734332
54,1332.33,0.67211,0.37431,0.8308,0.94033,0.95525,0.98538,0.81509,0.63733,0.35245,0.83237,0.000725094,0.000725094,0.000725094
55,1355.94,0.67706,0.37827,0.8299,0.93725,0.95303,0.98452,0.8087,0.64615,0.36814,0.83369,0.000715761,0.000715761,0.000715761
56,1379.17,0.6679,0.37196,0.83083,0.94045,0.95525,0.98509,0.81421,0.62844,0.35028,0.82945,0.000706335,0.000706335,0.000706335
