epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.3213,1.10691,0.85916,0.97488,0.86099,0.88367,0.94472,0.72799,0.73832,0.62759,0.87106,0.000330688,0.000330688,0.0672619
2,67.5026,0.89161,0.57592,0.88602,0.93342,0.94421,0.98124,0.80115,0.6643,0.45446,0.84757,0.000663949,0.000663949,0.0342618
3,91.5053,0.85327,0.53138,0.87787,0.92553,0.91028,0.96937,0.74173,0.75682,0.53147,0.85987,0.000996921,0.000996921,0.00126147
4,115.66,0.83071,0.50999,0.87139,0.93699,0.94539,0.98227,0.8091,0.65118,0.42317,0.83957,0.000999023,0.000999023,0.000999023
5,139.556,0.81128,0.49196,0.86501,0.93745,0.94351,0.98024,0.79583,0.66905,0.43509,0.84303,0.000998264,0.000998264,0.000998264
6,163.549,0.79877,0.47907,0.86653,0.93985,0.94373,0.98098,0.79486,0.69513,0.42644,0.84667,0.000997288,0.000997288,0.000997288
7,187.354,0.8071,0.47891,0.86662,0.94374,0.93764,0.98278,0.81157,0.63779,0.42176,0.83929,0.000996097,0.000996097,0.000996097
8,211.051,0.77676,0.4572,0.8607,0.937,0.95193,0.9839,0.80784,0.64835,0.4042,0.8378,0.00099469,0.00099469,0.00099469
9,234.513,0.77239,0.46088,0.85742,0.93784,0.93922,0.98179,0.80596,0.64972,0.4146,0.83886,0.000993068,0.000993068,0.000993068
10,257.69,0.76607,0.44458,0.85699,0.94085,0.94431,0.9832,0.80809,0.65479,0.4005,0.84106,0.000991232,0.000991232,0.000991232
11,280.769,0.77544,0.44467,0.8544,0.94153,0.94772,0.98374,0.80684,0.6519,0.38526,0.84011,0.000989183,0.000989183,0.000989183
12,303.625,0.75691,0.42929,0.85331,0.946,0.94888,0.98602,0.81744,0.63434,0.38213,0.8334,0.000986922,0.000986922,0.000986922
13,326.711,0.7506,0.43388,0.8534,0.93519,0.94783,0.98416,0.81353,0.63757,0.39447,0.83575,0.000984449,0.000984449,0.000984449
14,349.614,0.74653,0.43476,0.85195,0.93859,0.94406,0.98084,0.80141,0.65418,0.40668,0.84064,0.000981765,0.000981765,0.000981765
15,372.385,0.74202,0.42899,0.85056,0.93285,0.928,0.97747,0.80458,0.62952,0.40789,0.83501,0.000978873,0.000978873,0.000978873
16,395.396,0.74709,0.4269,0.85102,0.93897,0.95427,0.98416,0.81368,0.64131,0.37891,0.83248,0.000975773,0.000975773,0.000975773
17,418.607,0.73858,0.42178,0.8488,0.94148,0.9547,0.98514,0.81896,0.62247,0.37074,0.83352,0.000972466,0.000972466,0.000972466
18,442.101,0.73437,0.41766,0.8472,0.94319,0.94895,0.98481,0.81426,0.63348,0.3781,0.83411,0.000968955,0.000968955,0.000968955
19,465.178,0.73417,0.41616,0.84481,0.94042,0.94982,0.98532,0.81602,0.62454,0.37511,0.83504,0.000965239,0.000965239,0.000965239
20,487.871,0.72366,0.40735,0.84555,0.9438,0.95048,0.98513,0.80963,0.63864,0.36952,0.83503,0.000961322,0.000961322,0.000961322
21,510.675,0.71821,0.40825,0.84506,0.9391,0.94849,0.98349,0.81473,0.61722,0.37452,0.83234,0.000957205,0.000957205,0.000957205
22,533.821,0.71743,0.40772,0.84412,0.93657,0.95838,0.98375,0.81573,0.62456,0.37269,0.836,0.000952889,0.000952889,0.000952889
23,557.439,0.72204,0.40751,0.84291,0.94837,0.94608,0.98506,0.81551,0.6281,0.37328,0.83409,0.000948377,0.000948377,0.000948377
24,580.971,0.70994,0.40147,0.84294,0.94333,0.95502,0.98613,0.81392,0.63498,0.37044,0.83529,0.000943671,0.000943671,0.000943671
25,604.51,0.71683,0.40442,0.84169,0.94303,0.95137,0.98492,0.81705,0.62393,0.36703,0.8365,0.000938772,0.000938772,0.000938772
26,628.081,0.71319,0.39956,0.84434,0.94277,0.95256,0.98476,0.8204,0.61917,0.3704,0.83237,0.000933683,0.000933683,0.000933683
27,651.583,0.71705,0.40384,0.84314,0.94044,0.95614,0.98611,0.80704,0.65479,0.36982,0.83405,0.000928405,0.000928405,0.000928405
28,675.113,0.71357,0.39708,0.84159,0.93855,0.95753,0.98566,0.8246,0.60798,0.35679,0.82779,0.000922942,0.000922942,0.000922942
29,698.54,0.69734,0.3898,0.84085,0.94122,0.95607,0.98574,0.81861,0.61605,0.35926,0.82991,0.000917296,0.000917296,0.000917296
30,721.87,0.69928,0.38928,0.83807,0.93958,0.95605,0.98541,0.81547,0.63427,0.36336,0.83738,0.000911469,0.000911469,0.000911469
31,745.2,0.69948,0.38937,0.83761,0.94871,0.95058,0.98476,0.81949,0.61797,0.35622,0.83384,0.000905463,0.000905463,0.000905463
32,767.932,0.6959,0.38735,0.84012,0.94613,0.94794,0.98524,0.81889,0.62388,0.35874,0.8358,0.000899282,0.000899282,0.000899282
33,790.767,0.69901,0.38597,0.83904,0.9396,0.95807,0.98455,0.81817,0.62567,0.35337,0.83355,0.000892928,0.000892928,0.000892928
34,813.613,0.691,0.38492,0.8367,0.94564,0.94796,0.98621,0.82055,0.61475,0.35506,0.82952,0.000886404,0.000886404,0.000886404
35,836.323,0.68952,0.38336,0.83661,0.93952,0.95318,0.9846,0.81734,0.61272,0.36018,0.83153,0.000879713,0.000879713,0.000879713
36,859.074,0.68723,0.38213,0.83715,0.94741,0.94993,0.98591,0.8206,0.61878,0.35578,0.83151,0.000872857,0.000872857,0.000872857
37,882.001,0.68801,0.38211,0.83451,0.94097,0.95342,0.98559,0.81387,0.62469,0.35543,0.83182,0.000865839,0.000865839,0.000865839
38,904.973,0.68642,0.38014,0.83618,0.94034,0.95492,0.98564,0.81875,0.61789,0.35439,0.83293,0.000858664,0.000858664,0.000858664
39,928.085,0.68163,0.37774,0.83591,0.93872,0.95364,0.98562,0.81906,0.61479,0.35468,0.83076,0.000851333,0.000851333,0.000851333
40,951.166,0.67585,0.37374,0.83304,0.94218,0.95004,0.98443,0.81288,0.62656,0.35496,0.83318,0.000843851,0.000843851,0.000843851
41,974.039,0.6762,0.37352,0.83658,0.94333,0.95509,0.98594,0.82409,0.61025,0.35333,0.83046,0.00083622,0.00083622,0.00083622
42,997.009,0.68203,0.37518,0.83421,0.9431,0.9496,0.98445,0.82071,0.6144,0.35551,0.83068,0.000828443,0.000828443,0.000828443
43,1020.16,0.67904,0.37171,0.8351,0.9463,0.94949,0.98535,0.82044,0.623,0.35309,0.83228,0.000820525,0.000820525,0.000820525
44,1043.14,0.67506,0.36987,0.83234,0.94399,0.95215,0.98568,0.82433,0.60726,0.34428,0.83079,0.000812468,0.000812468,0.000812468
45,1066.25,0.67496,0.36889,0.8335,0.94036,0.9537,0.98478,0.82267,0.60897,0.34571,0.82928,0.000804277,0.000804277,0.000804277
46,1089.36,0.6693,0.36813,0.83216,0.94223,0.95126,0.98587,0.82181,0.61784,0.34689,0.83418,0.000795954,0.000795954,0.000795954
47,1112.45,0.66417,0.36371,0.83315,0.94748,0.94572,0.98532,0.82072,0.61547,0.34802,0.8334,0.000787503,0.000787503,0.000787503
48,1135.44,0.66249,0.36116,0.82965,0.94652,0.94307,0.98497,0.82264,0.61255,0.34987,0.83056,0.000778929,0.000778929,0.000778929
