epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,579.632,0.98848,0.58401,0.89948,0.92432,0.89316,0.94071,0.65846,0.97058,0.60423,0.93411,0.0014588,0.0014588,0.0014588
43,595.899,0.9389,0.56559,0.89094,0.92432,0.89316,0.94071,0.65846,0.97058,0.60423,0.93411,0.0014456,0.0014456,0.0014456
44,612.176,0.91162,0.55806,0.88493,0.91261,0.88462,0.93932,0.6534,1.00039,0.58603,0.92973,0.0014324,0.0014324,0.0014324
45,628.216,0.91388,0.55645,0.89442,0.90821,0.88801,0.93587,0.6414,1.01357,0.5731,0.93637,0.0014192,0.0014192,0.0014192
46,644.195,0.97455,0.57253,0.88895,0.90419,0.89744,0.93906,0.64322,0.99847,0.58346,0.94363,0.001406,0.001406,0.001406
47,660.431,0.93206,0.56655,0.90843,0.90419,0.89744,0.93906,0.64322,0.99847,0.58346,0.94363,0.0013928,0.0013928,0.0013928
48,676.419,0.88433,0.57494,0.89278,0.87491,0.88889,0.92603,0.64589,0.96672,0.57601,0.92038,0.0013796,0.0013796,0.0013796
49,692.315,0.86055,0.53616,0.86333,0.91411,0.86415,0.92742,0.65714,0.95302,0.56615,0.92122,0.0013664,0.0013664,0.0013664
50,708.404,0.86012,0.55719,0.88743,0.91515,0.85043,0.92139,0.64521,0.95537,0.56075,0.92252,0.0013532,0.0013532,0.0013532
51,724.443,0.88696,0.52593,0.88235,0.91515,0.85043,0.92139,0.64521,0.95537,0.56075,0.92252,0.00134,0.00134,0.00134
52,740.399,0.88266,0.55139,0.89059,0.92547,0.84901,0.91084,0.63327,0.97471,0.56606,0.92118,0.0013268,0.0013268,0.0013268
53,756.584,0.94092,0.55258,0.8838,0.8965,0.85043,0.91299,0.6416,0.95859,0.57727,0.92009,0.0013136,0.0013136,0.0013136
54,770.388,0.87159,0.54209,0.87124,0.87639,0.86325,0.90761,0.63704,0.95959,0.57824,0.92202,0.0013004,0.0013004,0.0013004
55,782.139,0.90332,0.52714,0.88287,0.87639,0.86325,0.90761,0.63704,0.95959,0.57824,0.92202,0.0012872,0.0012872,0.0012872
56,793.393,0.93847,0.53464,0.87238,0.88022,0.87929,0.89846,0.61933,1.0044,0.58091,0.93155,0.001274,0.001274,0.001274
57,804.649,0.86184,0.5224,0.86927,0.87755,0.87607,0.90476,0.64182,0.94206,0.5707,0.91815,0.0012608,0.0012608,0.0012608
58,816.039,0.8418,0.52116,0.86448,0.87878,0.89843,0.92024,0.65361,0.94689,0.55003,0.91793,0.0012476,0.0012476,0.0012476
59,827.306,0.87926,0.5143,0.88162,0.87878,0.89843,0.92024,0.65361,0.94689,0.55003,0.91793,0.0012344,0.0012344,0.0012344
60,838.366,0.89663,0.52755,0.87678,0.88218,0.89597,0.91929,0.6549,0.96697,0.55157,0.92272,0.0012212,0.0012212,0.0012212
61,849.586,0.87869,0.51267,0.86854,0.90419,0.8873,0.91359,0.63054,1.03203,0.55893,0.93746,0.001208,0.001208,0.001208
62,860.87,0.87323,0.50851,0.8736,0.9113,0.87816,0.91644,0.63514,1.02801,0.54989,0.93881,0.0011948,0.0011948,0.0011948
